bit_high,gold_high
2932.81,1324.2
2873.96,1322.5
2876.71,1333.1
2856.67,1344.5
2798.89,1343.4
2779.08,1350.2
2631.73,1337.2
2712.92,1335.1
2843.78,1338
2812.13,1335.8
2773.06,1334
2916.3,1331.7
2946.02,1323
2773.8,1334.2
2822.88,1335.7
2892.67,1331.6
3344.01,1339.2
3295.07,1330.2
3425.13,1329.9
3494.87,1323.8
3437.15,1328.5
3453.84,1277.9
3706.48,1326.9
3967.26,1327.6
4189.42,1329.1
4336.71,1342.4
4436.48,1346.3
4398.06,1356.6
4487.5,1363.9
4362.73,1358.4
4189.68,1351.9
4182.29,1345.2
4097.25,1343.5
4142.68,1344
4255.62,1343.2
4364.11,1342.7
4461.71,1354.1
4379.28,1348
4408.18,1363.8
4403.13,1369.3
4647.83,1378.1
4644.06,1368.2
4765.07,1364.5
4925.23,1359.5
4976.52,1364.7
4719.78,1359.4
4621.01,1360.6
4496.67,1352.9
4660.04,1368.1
4690.55,1356.6
4699.59,1350
4402.15,1358.5
4338.08,1344.9
4364.42,1346.5
4387.76,1343.5
4174.58,1346.3
3930.69,1358.3
3824.43,1374
3893.67,1380.5
3796.56,1387.9
4122.75,1389
4120.71,1392.5
4053.04,1388
3912.79,1406.7
3753.51,1403.9
3813.39,1330.75
3790.89,1324.95
3971.5,1381.2
3982.31,1373.2
4232.35,1374.6
4274.64,1373.2
4237.51,1371.2
4383.27,1377.8
4412.62,1373.6
4477.38,1373.8
4435.99,1378.6
4355.29,1378.3
4365.76,1382.6
4422.15,1384
4472.92,1377.6
4622.87,1375.6
4875.38,1369.8
4930,1360
4874.89,1344.9
5432.63,1349.3
5852.78,1348.4
5839.62,1282.95
5862.69,1282.7
5795.33,1348.1
5773.32,1357.9
5601.3,1359.3
5737.41,1353.7
6075.32,1357.2
6187.2,1355.4
6070.56,1353
6048.98,1357.3
5904.63,1351.1
5747.96,1355.2
5970.4,1351.8
5997.83,1359.8
5871.04,1349.5
6295.43,1284.75
6226.18,1347.1
6467.2,1348.3
6738.74,1346.5
7339.91,1343
7445.62,1274.55
7492.24,1337
7599.44,1323.1
7429.7,1333.1
7222.37,1321.3
7869.1,1318.5
7457.12,1317.4
7318.97,1307
6821.5,1313.2
6490.53,1315.8
6760.15,1312.9
6728.59,1314.8
7330.06,1319.5
7964.64,1313.9
8000.19,1309.6
7857.52,1313.6
8100.87,1306.4
8294.12,1289.7
8368.36,1297
8304.37,1296.4
8266.55,1286.5
8332.94,1295.8
8761.98,1296.1
9474.62,1229.7
9733.61,1300.8
9969.58,1293.4
11417.84,1297.5
10689.06,1294.9
10942.8,1287.6
