_id,time,high,low,open,close
5f5c943ba9115d187c3c8ad4,1470268800,584.89,559.5,566.44,576.22
5f5c943ba9115d187c3c8ad5,1470355200,579.97,565.81,576.22,574.66
5f5c943ba9115d187c3c8ad6,1470441600,596.68,565.33,574.66,586.45
5f5c943ba9115d187c3c8ad7,1470528000,596.01,580.87,586.45,590.85
5f5c943ba9115d187c3c8ad8,1470614400,594.24,585.41,590.85,589.24
5f5c943ba9115d187c3c8ad9,1470700800,591.2,581.1,589.24,585.25
5f5c943ba9115d187c3c8ada,1470787200,600.52,580.87,585.25,590.94
5f5c943ba9115d187c3c8adb,1470873600,599.15,585.39,590.94,587.84
5f5c943ba9115d187c3c8adc,1470960000,591.14,582.2,587.84,587.14
5f5c943ba9115d187c3c8add,1471046400,590.07,582.81,587.14,584.59
5f5c943ba9115d187c3c8ade,1471132800,585.8,559.93,584.59,569.06
5f5c943ba9115d187c3c8adf,1471219200,574.97,559.28,569.06,566.95
5f5c943ba9115d187c3c8ae0,1471305600,583.38,563.38,566.95,580.19
5f5c943ba9115d187c3c8ae1,1471392000,581.1,568.66,580.19,572.34
5f5c943ba9115d187c3c8ae2,1471478400,579.53,570.83,572.34,573.39
5f5c943ba9115d187c3c8ae3,1471564800,577.86,566.25,573.39,574.56
5f5c943ba9115d187c3c8ae4,1471651200,583.5,572.28,574.56,582.61
5f5c943ba9115d187c3c8ae5,1471737600,585.32,577.84,582.61,580.66
5f5c943ba9115d187c3c8ae6,1471824000,591.9,577.13,580.66,587.47
5f5c943ba9115d187c3c8ae7,1471910400,589.87,578.61,587.47,583.56
5f5c943ba9115d187c3c8ae8,1471996800,584.47,576.82,583.56,579.66
5f5c943ba9115d187c3c8ae9,1472083200,580.71,570.81,579.66,577.96
5f5c943ba9115d187c3c8aea,1472169600,582.73,575.83,577.96,579.37
5f5c943ba9115d187c3c8aeb,1472256000,580.41,567.25,579.37,570.35
5f5c943ba9115d187c3c8aec,1472342400,576.32,569.21,570.35,574.98
5f5c943ba9115d187c3c8aed,1472428800,578.61,571.38,574.98,574.23
5f5c943ba9115d187c3c8aee,1472515200,579.94,572.51,574.23,577.32
5f5c943ba9115d187c3c8aef,1472601600,578.25,571.69,577.32,573.88
5f5c943ba9115d187c3c8af0,1472688000,704.97,569.37,573.88,571.99
5f5c943ba9115d187c3c8af1,1472774400,577.6,569.3,571.99,575.29
5f5c943ba9115d187c3c8af2,1472860800,604.97,572.64,575.29,598.84
5f5c943ba9115d187c3c8af3,1472947200,615.2,590.78,598.84,609.55
5f5c943ba9115d187c3c8af4,1473033600,610.61,598.77,609.55,605.76
5f5c943ba9115d187c3c8af5,1473120000,611.95,603.55,605.76,610.44
5f5c943ba9115d187c3c8af6,1473206400,616.48,606.24,610.44,613.21
5f5c943ba9115d187c3c8af7,1473292800,629.3,611.25,613.21,625.57
5f5c943ba9115d187c3c8af8,1473379200,627.58,617.32,625.57,623.16
5f5c943ba9115d187c3c8af9,1473465600,627.45,621.07,623.16,624.52
5f5c943ba9115d187c3c8afa,1473552000,630.77,592.79,624.52,605.61
5f5c943ba9115d187c3c8afb,1473638400,610.62,603.03,605.61,607.98
5f5c943ba9115d187c3c8afc,1473724800,612.03,604.87,607.98,608.61
5f5c943ba9115d187c3c8afd,1473811200,612.16,606.39,608.61,609.54
5f5c943ba9115d187c3c8afe,1473897600,610.73,605.1,609.54,608.11
5f5c943ba9115d187c3c8aff,1473984000,610.36,605.15,608.11,607.78
5f5c943ba9115d187c3c8b00,1474070400,609.61,604.52,607.78,607.08
5f5c943ba9115d187c3c8b01,1474156800,612.38,605.22,607.08,610.7
5f5c943ba9115d187c3c8b02,1474243200,612.41,606.99,610.7,609.85
5f5c943ba9115d187c3c8b03,1474329600,611.27,605.93,609.85,609.24
5f5c943ba9115d187c3c8b04,1474416000,608.82,591.69,609.24,597.16
5f5c943ba9115d187c3c8b05,1474502400,599.78,592.83,597.16,595.63
5f5c943ba9115d187c3c8b06,1474588800,603.7,594.11,595.63,602.92
5f5c943ba9115d187c3c8b07,1474675200,605.92,600.5,602.92,602.59
5f5c943ba9115d187c3c8b08,1474761600,604.87,598.35,602.59,601.49
5f5c943ba9115d187c3c8b09,1474848000,608.46,598.17,601.49,606.54
5f5c943ba9115d187c3c8b0a,1474934400,608.97,601.73,606.54,605.47
5f5c943ba9115d187c3c8b0b,1475020800,606.9,602.62,605.47,604.67
5f5c943ba9115d187c3c8b0c,1475107200,607.23,602.01,604.67,604.7
5f5c943ba9115d187c3c8b0d,1475193600,608.78,602.25,604.7,608.14
5f5c943ba9115d187c3c8b0e,1475280000,615,607.07,608.14,613.41
5f5c943ba9115d187c3c8b0f,1475366400,614.21,607.67,613.41,610.69
5f5c943ba9115d187c3c8b10,1475452800,613.2,608.47,610.69,611.6
5f5c943ba9115d187c3c8b11,1475539200,612.68,606.5,611.6,608.96
5f5c943ba9115d187c3c8b12,1475625600,613.65,607.98,608.96,611.82
5f5c943ba9115d187c3c8b13,1475712000,612.68,608.54,611.82,610.97
5f5c943ba9115d187c3c8b14,1475798400,619.43,609.12,610.97,616.03
5f5c943ba9115d187c3c8b15,1475884800,619.56,614.88,616.03,617.65
5f5c943ba9115d187c3c8b16,1475971200,618.35,613.01,617.65,615.77
5f5c943ba9115d187c3c8b17,1476057600,618.81,612.76,615.77,617.29
5f5c943ba9115d187c3c8b18,1476144000,642.35,615.6,617.29,640.45
5f5c943ba9115d187c3c8b19,1476230400,642.51,632.19,640.45,635.99
5f5c943ba9115d187c3c8b1a,1476316800,639.52,632.25,635.99,635.6
5f5c943ba9115d187c3c8b1b,1476403200,640.46,630.66,635.6,637.92
5f5c943ba9115d187c3c8b1c,1476489600,641.4,635.06,637.92,637.03
5f5c943ba9115d187c3c8b1d,1476576000,642.18,636.39,637.03,640.12
5f5c943ba9115d187c3c8b1e,1476662400,641.29,634.89,640.12,637.37
5f5c943ba9115d187c3c8b1f,1476748800,639.34,632.23,637.37,635.34
5f5c943ba9115d187c3c8b20,1476835200,637.27,624.09,635.34,629.06
5f5c943ba9115d187c3c8b21,1476921600,630.83,625.48,629.06,628.34
5f5c943ba9115d187c3c8b22,1477008000,633.26,627.58,628.34,630.45
5f5c943ba9115d187c3c8b23,1477094400,659.89,629.72,630.45,655.48
5f5c943ba9115d187c3c8b24,1477180800,661.2,648.78,655.48,653.03
5f5c943ba9115d187c3c8b25,1477267200,654.32,645.68,653.03,650.49
5f5c943ba9115d187c3c8b26,1477353600,662.54,647.65,650.49,651
5f5c943ba9115d187c3c8b27,1477440000,678.39,651.39,651,674.67
5f5c943ba9115d187c3c8b28,1477526400,687.88,672.26,674.67,682.3
5f5c943ba9115d187c3c8b29,1477612800,688.43,678.63,682.3,686.24
5f5c943ba9115d187c3c8b2a,1477699200,720.19,685.22,686.24,714.95
5f5c943ba9115d187c3c8b2b,1477785600,714.91,689.51,714.95,697.27
5f5c943ba9115d187c3c8b2c,1477872000,707.21,682.17,697.27,698.67
5f5c943ba9115d187c3c8b2d,1477958400,734.36,695.2,698.67,726.76
5f5c943ba9115d187c3c8b2e,1478044800,735.78,718.14,726.76,733.51
5f5c943ba9115d187c3c8b2f,1478131200,744.43,670.4,733.51,684.87
5f5c943ba9115d187c3c8b30,1478217600,706.64,681.27,684.87,702.08
